     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3900500 3010500  1  2 23   0.4 1023  86  8.3 7  3.3  86    0    0 261 -309  2
3900500 3010500  1  2 24   0.3 1022  92  6.3 6  3.3  84    0    0 263 -308  2
3900500 3010500  1  3  1   0.1 1022  85  8.7 8  3.1  82    0    0 268 -308  2
3900500 3010500  1  3  2  -0.2 1021  84  8.5 8  3.0  81    0    0 278 -307  2
3900500 3010500  1  3  3  -0.3 1020  93  9.7 8  2.9  80    0    0 278 -305  2
3900500 3010500  1  3  4  -0.5 1020 102  9.3 8  2.9  78    0    0 279 -305  2
3900500 3010500  1  3  5  -1.0 1019  92 10.0 7  2.8  80    0    0 273 -305  2
3900500 3010500  1  3  6  -1.9 1018  91  8.9 7  2.7  81    0    0 267 -306  2
3900500 3010500  1  3  7  -2.6 1018  92 10.2 6  2.6  82    0    0 259 -305  2
3900500 3010500  1  3  8  -2.8 1018  98  9.9 6  2.5  82    0    0 253 -305  2
3900500 3010500  1  3  9  -2.9 1017 100  7.4 6  2.5  81    0    0 251 -305  2
3900500 3010500  1  3 10  -2.9 1017  96  7.4 8  2.4  80    0    9 260 -303  2
3900500 3010500  1  3 11  -2.8 1017  95 10.0 8  2.5  82    0   23 269 -303  2
3900500 3010500  1  3 12  -2.8 1017  92  9.5 8  2.6  83    0   34 272 -304  2
3900500 3010500  1  3 13  -2.4 1016  94 10.5 8  2.6  84    0   36 273 -304  2
3900500 3010500  1  3 14  -2.3 1016  96 10.7 8  2.6  83    0   39 274 -304  2
3900500 3010500  1  3 15  -2.2 1015  96 11.3 7  2.6  82    0   44 271 -302  2
3900500 3010500  1  3 16  -2.2 1015 101 10.4 7  2.6  81    0   12 268 -300  2
3900500 3010500  1  3 17  -2.1 1015 101 11.4 8  2.6  81    0    0 273 -297  2
3900500 3010500  1  3 18  -2.2 1015 100 11.3 8  2.6  80    0    0 276 -295  2
3900500 3010500  1  3 19  -2.2 1015 107  9.8 7  2.6  80    0    0 271 -294  2
3900500 3010500  1  3 20  -2.2 1015 104  9.5 6  2.6  80    0    0 263 -293  2
3900500 3010500  1  3 21  -2.3 1015 106 10.2 3  2.6  80    0    0 246 -291  2
3900500 3010500  1  3 22  -2.2 1015 103 10.3 3  2.5  80    0    0 232 -290  2
3900500 3010500  1  3 23  -2.3 1015 102 10.3 2  2.6  80    0    0 227 -289  2
3900500 3010500  1  3 24  -2.1 1015 102  7.8 2  2.6  81    0    0 222 -289  2
3900500 3010500  1  4  1  -2.0 1016 105 10.9 5  2.6  80    0    0 234 -289  2
3900500 3010500  1  4  2  -2.2 1016 104 11.2 5  2.6  80    0    0 245 -289  2
3900500 3010500  1  4  3  -2.5 1016 107 11.0 2  2.6  80    0    0 231 -290  2
3900500 3010500  1  4  4  -2.8 1016 101 11.7 5  2.5  80    0    0 229 -290  2
3900500 3010500  1  4  5  -2.9 1015 106  9.6 6  2.4  79    0    0 243 -290  2
3900500 3010500  1  4  6  -3.0 1015 108 11.4 6  2.4  78    0    0 245 -291  2
3900500 3010500  1  4  7  -3.5 1016 108 10.5 6  2.3  77    0    0 243 -292  2
3900500 3010500  1  4  8  -3.7 1016 111 11.1 7  2.2  77    0    0 245 -293  2
3900500 3010500  1  4  9  -3.9 1016 108 11.2 7  2.2  77    0    0 247 -294  2
3900500 3010500  1  4 10  -4.2 1016 106 11.6 7  2.1  77    0    8 247 -296  2
3900500 3010500  1  4 11  -4.0 1016 105 11.6 8  2.1  77    0   43 253 -298  2
3900500 3010500  1  4 12  -3.9 1016 110 11.6 7  2.1  75   14   88 254 -301  2
3900500 3010500  1  4 13  -3.7 1015 112 10.1 6  2.1  74   25   99 245 -304  2
3900500 3010500  1  4 14  -3.5 1015 114 10.4 7  2.1  74    8   76 246 -305  2
3900500 3010500  1  4 15  -3.4 1014 114 10.2 8  2.1  73    0   27 255 -306  2
3900500 3010500  1  4 16  -3.4 1014 121  8.7 6  2.2  73    0    6 249 -305  2
3900500 3010500  1  4 17  -3.5 1014 117  8.9 8  2.2  74    0    0 249 -303  2
3900500 3010500  1  4 18  -3.5 1014 118  9.6 8  2.2  75    0    0 260 -303  2
3900500 3010500  1  4 19  -3.6 1014 121  8.6 7  2.2  75    0    0 256 -302  2
3900500 3010500  1  4 20  -3.6 1013 118  9.1 7  2.2  75    0    0 251 -301  2
3900500 3010500  1  4 21  -3.5 1013 116  8.7 7  2.2  75    0    0 252 -300  2
3900500 3010500  1  4 22  -3.4 1012 111  9.9 8  2.2  76    0    0 260 -300  2
3900500 3010500  1  4 23  -3.0 1011 120  9.8 7  2.3  76    0    0 261 -300  2
3900500 3010500  1  4 24  -2.9 1010 116  8.8 7  2.3  77    0    0 257 -300  2
3900500 3010500  1  5  1  -2.4 1009 119  8.2 8  2.4  77    0    0 265 -301  2
3900500 3010500  1  5  2  -2.0 1008 123  7.7 8  2.5  77    0    0 274 -301  2
3900500 3010500  1  5  3  -1.9 1007 129  7.6 6  2.5  77    0    0 261 -302  2
3900500 3010500  1  5  4  -1.5 1006 127  7.1 3  2.6  78    0    0 229 -302  2
3900500 3010500  1  5  5  -0.8 1005 129  7.2 7  2.8  79    0    0 236 -303  2
3900500 3010500  1  5  6   0.2 1004 130  8.1 7  2.9  79    0    0 268 -304  2
3900500 3010500  1  5  7   1.2 1003 137  8.1 7  3.2  78    0    0 271 -305  2
3900500 3010500  1  5  8   1.3 1003 140  7.5 7  3.4  82    0    0 274 -307  2
3900500 3010500  1  5  9   1.6 1003 133  6.6 8  3.7  87    0    0 287 -310  2
3900500 3010500  1  5 10   2.5 1002 133  7.2 8  4.0  90    0   10 302 -315  2
3900500 3010500  1  5 11   3.2 1002 144  7.2 7  4.2  90    0   32 292 -318  2
3900500 3010500  1  5 12   3.7 1001 150  6.9 7  4.4  90    0   33 282 -320  2
3900500 3010500  1  5 13   3.9 1001 156  6.9 8  4.6  92    0   29 298 -320  2
3900500 3010500  1  5 14   4.1 1001 162  5.9 7  4.7  92    0   35 301 -321  2
3900500 3010500  1  5 15   4.0 1001 164  5.2 8  4.8  94    0   31 300 -323  2
3900500 3010500  1  5 16   4.2 1001 162  5.1 8  4.9  95    0    8 315 -326  2
3900500 3010500  1  5 17   4.2 1001 156  5.3 8  4.9  95    0    0 315 -326  2
