Koordinatensystem : Lambert konform konisch
Rechtswert        : 3900500 Meter
Hochwert          : 3010500 Meter
Hoehenlage        : 2 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
3900500 3010500  1  3  1  -1.1 1028  74  3.2 7  3.1  88    0    0 275 -295  1
3900500 3010500  1  3  2  -1.1 1027  77  3.0 7  3.1  89    0    0 270 -293  1
3900500 3010500  1  3  3  -1.2 1027  85  2.2 3  3.1  89    0    0 247 -292  1
3900500 3010500  1  3  4  -0.9 1028  93  3.1 8  3.1  88    0    0 252 -291  1
3900500 3010500  1  3  5  -0.9 1027 104  2.8 8  3.1  88    0    0 279 -290  1
3900500 3010500  1  3  6  -1.1 1027 108  2.6 7  3.0  88    0    0 272 -289  1
3900500 3010500  1  3  7  -1.3 1027 107  3.1 5  3.0  88    0    0 253 -288  1
3900500 3010500  1  3  8  -1.6 1027 141  2.5 6  3.0  88    0    0 245 -287  1
3900500 3010500  1  3  9  -1.7 1027 143  2.0 6  2.9  89    0    0 246 -286  1
3900500 3010500  1  3 10  -1.3 1027 169  1.6 8  3.0  89    0   11 252 -286  1
3900500 3010500  1  3 11  -0.7 1027 158  2.2 7  3.0  86    0   35 257 -289  1
3900500 3010500  1  3 12  -0.7 1027 157  2.5 6  2.9  82    0   72 248 -294  1
3900500 3010500  1  3 13  -0.5 1026 165  2.3 7  2.8  77    0   59 248 -299  1
3900500 3010500  1  3 14  -0.5 1026 159  2.4 8  2.7  76    0   58 258 -302  1
3900500 3010500  1  3 15  -0.6 1025 171  2.6 6  2.8  77    7   72 253 -302  1
3900500 3010500  1  3 16  -0.9 1024 168  2.7 8  2.8  78    1   25 250 -300  1
3900500 3010500  1  3 17  -1.3 1024 163  2.8 8  2.7  79    0    0 258 -297  1
3900500 3010500  1  3 18  -1.4 1023 178  3.1 8  2.7  79    0    0 258 -295  1
3900500 3010500  1  3 19  -1.5 1022 190  2.8 8  2.6  78    0    0 257 -295  1
3900500 3010500  1  3 20  -1.6 1022 192  2.8 8  2.6  77    0    0 258 -295  1
3900500 3010500  1  3 21  -1.8 1022 178  3.4 8  2.5  77    0    0 260 -295  1
3900500 3010500  1  3 22  -2.1 1021 171  3.2 8  2.5  77    0    0 261 -295  1
3900500 3010500  1  3 23  -2.4 1021 178  4.0 8  2.5  78    0    0 264 -295  1
3900500 3010500  1  3 24  -2.4 1020 178  4.0 8  2.5  78    0    0 267 -295  1
3900500 3010500  1  4  1  -2.6 1019 186  4.3 8  2.5  79    0    0 270 -296  1
3900500 3010500  1  4  2  -3.3 1019 190  4.2 8  2.6  84    0    0 273 -296  1
3900500 3010500  1  4  3  -3.5 1017 172  4.3 6  2.7  91    0    0 268 -296  1
3900500 3010500  1  4  4  -3.7 1016 166  4.7 8  2.7  94    0    0 269 -296  1
3900500 3010500  1  4  5  -3.5 1015 152  4.8 8  2.7  93    0    0 277 -296  1
3900500 3010500  1  4  6  -3.4 1015 155  5.0 8  2.7  92    0    0 280 -296  1
3900500 3010500  1  4  7  -3.3 1014 152  5.3 8  2.7  91    0    0 282 -297  1
3900500 3010500  1  4  8  -3.3 1013 156  5.6 8  2.7  92    0    0 283 -297  1
3900500 3010500  1  4  9  -3.3 1012 160  6.0 8  2.8  93    0    0 284 -297  1
3900500 3010500  1  4 10  -3.0 1012 168  5.6 8  2.8  93    0   20 284 -297  1
3900500 3010500  1  4 11  -3.0 1012 167  5.5 7  2.9  94    0   38 277 -299  1
3900500 3010500  1  4 12  -2.8 1012 159  5.2 8  3.0  96    0   30 278 -302  1
3900500 3010500  1  4 13  -2.5 1011 161  5.0 8  3.0  96    0   29 285 -305  1
3900500 3010500  1  4 14  -2.3 1011 163  4.8 8  3.0  94    0   24 285 -308  1
3900500 3010500  1  4 15  -2.2 1011 162  4.8 7  3.1  95    0   27 281 -308  1
3900500 3010500  1  4 16  -2.2 1010 162  5.1 7  3.1  97    0    9 277 -306  1
3900500 3010500  1  4 17  -2.1 1010 158  4.8 7  3.2  98    0    0 278 -302  1
3900500 3010500  1  4 18  -1.6 1010 151  3.9 8  3.3  99    0    0 286 -298  1
3900500 3010500  1  4 19  -1.2 1010 134  3.5 7  3.4 100    0    0 286 -295  1
3900500 3010500  1  4 20  -1.4 1010  82  5.2 8  3.5 100    0    0 282 -293  1
3900500 3010500  1  4 21  -1.6 1011  66  5.8 7  3.3  98    0    0 278 -292  1
3900500 3010500  1  4 22  -1.8 1012  59  5.1 8  3.2  96    0    0 274 -290  1
3900500 3010500  1  4 23  -1.9 1013  65  3.8 7  3.2  97    0    0 271 -289  1
