     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3900500 3010500  1  2 23   1.1 1021   5  9.2 8  3.0  74    0    0 304 -312  0
3900500 3010500  1  2 24   1.2 1022  12  8.2 8  3.0  74    0    0 305 -311  0
3900500 3010500  1  3  1   1.1 1023   6  8.7 8  3.1  76    0    0 305 -310  0
3900500 3010500  1  3  2   1.2 1024  14  7.3 8  3.1  77    0    0 306 -309  0
3900500 3010500  1  3  3   1.3 1024  16  7.0 6  3.1  76    0    0 295 -307  0
3900500 3010500  1  3  4   1.3 1025  17  7.5 6  3.1  76    0    0 283 -306  0
3900500 3010500  1  3  5   1.0 1026  25  7.6 7  3.2  77    0    0 288 -305  0
3900500 3010500  1  3  6   0.4 1027  35  7.8 5  3.2  81    0    0 280 -305  0
3900500 3010500  1  3  7  -0.5 1028  44  7.0 1  3.1  83    0    0 243 -304  0
3900500 3010500  1  3  8  -1.3 1029  39  4.8 0  3.0  87    0    0 212 -303  0
3900500 3010500  1  3  9  -1.1 1030  40  4.5 1  3.0  89    0    0 210 -302  0
3900500 3010500  1  3 10  -1.5 1031  44  4.2 0  3.0  88    9   33 210 -302  0
3900500 3010500  1  3 11  -0.8 1032  51  2.9 0  3.0  87   69   58 203 -303  0
3900500 3010500  1  3 12  -0.4 1032  51  2.7 0  3.0  85  132   58 205 -306  0
3900500 3010500  1  3 13   0.1 1033  58  1.9 0  3.0  83  165   50 205 -310  0
3900500 3010500  1  3 14   0.6 1033  65  1.8 0  3.0  79  152   46 206 -312  0
3900500 3010500  1  3 15   1.0 1033  80  0.6 0  3.0  75   92   43 207 -312  0
3900500 3010500  1  3 16   0.7 1033 342  0.2 0  2.9  73   15   29 208 -310  0
3900500 3010500  1  3 17  -1.4 1033 234  0.9 0  2.7  76    0    1 204 -306  0
3900500 3010500  1  3 18  -2.2 1034 316  0.2 0  2.7  82    0    0 199 -302  0
3900500 3010500  1  3 19  -2.9 1034 108  0.7 0  2.6  86    0    0 198 -300  0
3900500 3010500  1  3 20  -3.5 1034 156  1.0 0  2.6  89    0    0 196 -298  0
3900500 3010500  1  3 21  -3.6 1034 180  1.6 0  2.6  91    0    0 196 -297  0
3900500 3010500  1  3 22  -4.0 1034 199  2.3 0  2.6  92    0    0 195 -296  0
3900500 3010500  1  3 23  -4.2 1034 214  2.4 0  2.5  93    0    0 195 -295  0
3900500 3010500  1  3 24  -4.1 1035 213  1.6 4  2.5  92    0    0 210 -294  0
3900500 3010500  1  4  1  -4.4 1035 219  2.6 0  2.5  93    0    0 210 -294  0
3900500 3010500  1  4  2  -4.4 1034 216  1.6 0  2.5  93    0    0 195 -293  0
3900500 3010500  1  4  3  -4.5 1034 221  2.7 0  2.4  92    0    0 194 -292  0
3900500 3010500  1  4  4  -4.6 1035 221  1.4 0  2.5  93    0    0 193 -291  0
3900500 3010500  1  4  5  -4.9 1035 198  2.6 0  2.5  95    0    0 192 -290  0
3900500 3010500  1  4  6  -5.1 1034 191  1.5 0  2.4  95    0    0 191 -288  0
3900500 3010500  1  4  7  -5.9 1034 192  1.3 0  2.4  96    0    0 189 -287  0
3900500 3010500  1  4  8  -5.7 1034 190  0.8 1  2.3  97    0    0 191 -286  0
3900500 3010500  1  4  9  -6.2 1035  91  0.6 1  2.3  97    0    0 193 -286  0
3900500 3010500  1  4 10  -6.5 1035 127  1.9 1  2.2  97    4   32 191 -285  0
3900500 3010500  1  4 11  -4.7 1036 130  2.2 3  2.3  96   16   69 199 -287  0
3900500 3010500  1  4 12  -4.3 1036 129  2.8 5  2.6  96    0   65 218 -291  0
3900500 3010500  1  4 13  -3.9 1035 129  3.0 3  2.7  98   33  103 220 -295  0
3900500 3010500  1  4 14  -3.7 1035 141  2.8 1  2.7  95  152   54 206 -298  0
3900500 3010500  1  4 15  -3.3 1035 144  2.3 1  2.6  91   96   48 199 -298  0
3900500 3010500  1  4 16  -4.7 1035 133  2.7 0  2.5  91   18   30 195 -296  0
3900500 3010500  1  4 17  -5.4 1035 131  3.5 0  2.4  94    0    1 189 -292  0
3900500 3010500  1  4 18  -5.5 1035 127  3.1 0  2.3  94    0    0 188 -288  0
3900500 3010500  1  4 19  -6.4 1035 125  3.2 0  2.3  96    0    0 186 -286  0
3900500 3010500  1  4 20  -6.9 1036 132  3.1 0  2.2  98    0    0 185 -284  0
3900500 3010500  1  4 21  -6.6 1035 132  3.7 0  2.1  95    0    0 185 -283  0
3900500 3010500  1  4 22  -6.8 1035 131  3.7 0  2.1  94    0    0 185 -282  0
3900500 3010500  1  4 23  -6.6 1035 132  4.1 0  2.1  93    0    0 185 -281  0
3900500 3010500  1  4 24  -6.7 1035 137  4.0 0  2.1  91    0    0 185 -280  0
3900500 3010500  1  5  1  -7.1 1035 131  4.3 0  2.0  91    0    0 184 -280  0
3900500 3010500  1  5  2  -7.1 1035 137  4.5 2  2.0  92    0    0 187 -279  0
3900500 3010500  1  5  3  -6.8 1035 127  4.6 1  2.0  90    0    0 189 -279  0
3900500 3010500  1  5  4  -7.3 1035 136  4.3 0  2.0  90    0    0 186 -279  0
3900500 3010500  1  5  5  -7.4 1035 139  4.5 0  2.0  92    0    0 184 -279  0
3900500 3010500  1  5  6  -7.2 1034 144  5.2 2  2.0  92    0    0 188 -278  0
3900500 3010500  1  5  7  -7.6 1034 153  5.2 0  2.0  92    0    0 188 -278  0
3900500 3010500  1  5  8  -7.2 1033 153  5.3 2  2.0  94    0    0 189 -279  0
3900500 3010500  1  5  9  -7.2 1033 144  5.1 2  2.0  95    0    0 192 -279  0
3900500 3010500  1  5 10  -7.2 1033 143  4.8 3  2.1  95    5   33 193 -279  0
3900500 3010500  1  5 11  -6.8 1033 142  5.7 0  2.1  94   37   71 191 -282  0
3900500 3010500  1  5 12  -6.2 1032 146  5.2 0  2.1  93   73   89 185 -286  0
3900500 3010500  1  5 13  -5.7 1031 144  6.2 0  2.2  92   99   91 187 -290  0
3900500 3010500  1  5 14  -5.2 1030 147  6.5 0  2.2  88   98   80 187 -293  0
3900500 3010500  1  5 15  -5.4 1029 139  7.0 0  2.2  86   58   63 186 -294  0
3900500 3010500  1  5 16  -5.8 1028 136  6.9 2  2.1  87    9   30 191 -292  0
3900500 3010500  1  5 17  -6.8 1028 143  6.6 0  2.1  88    0    1 189 -290  0
3900500 3010500  1  5 18  -7.3 1027 143  6.6 1  2.0  90    0    0 186 -288  0
3900500 3010500  1  5 19  -7.3 1027 143  6.7 3  2.0  90    0    0 195 -287  0
3900500 3010500  1  5 20  -6.8 1026 142  7.2 2  2.0  89    0    0 200 -286  0
3900500 3010500  1  5 21  -7.1 1025 144  7.3 1  2.0  88    0    0 196 -285  0
3900500 3010500  1  5 22  -7.6 1025 138  7.1 2  1.9  89    0    0 196 -284  0
3900500 3010500  1  5 23  -7.6 1024 135  8.1 1  1.9  90    0    0 197 -284  0
3900500 3010500  1  5 24  -7.8 1023 134  8.4 0  1.9  90    0    0 192 -284  0
3900500 3010500  1  6  1  -6.6 1022 138  7.4 5  1.9  89    0    0 209 -284  0
3900500 3010500  1  6  2  -6.3 1021 141  6.8 5  2.0  85    0    0 227 -284  0
3900500 3010500  1  6  3  -6.8 1021 138  6.9 4  2.0  85    0    0 224 -284  0
3900500 3010500  1  6  4  -6.3 1020 136  7.2 5  2.0  86    0    0 224 -284  0
3900500 3010500  1  6  5  -5.6 1020 139  6.8 4  2.0  84    0    0 227 -284  0
3900500 3010500  1  6  6  -6.7 1020 138  6.5 1  2.0  84    0    0 214 -283  0
3900500 3010500  1  6  7  -6.7 1019 137  6.4 5  1.9  85    0    0 217 -281  0
3900500 3010500  1  6  8  -6.9 1019 137  6.1 5  1.9  85    0    0 231 -281  0
3900500 3010500  1  6  9  -7.6 1019 131  6.4 6  1.9  87    0    0 235 -280  0
3900500 3010500  1  6 10  -7.2 1019 129  5.3 8  1.9  87    0   17 248 -279  0
3900500 3010500  1  6 11  -6.6 1020 123  5.8 5  2.0  87    1   61 248 -280  0
3900500 3010500  1  6 12  -6.1 1020 135  6.0 5  2.0  87    8  105 239 -284  0
3900500 3010500  1  6 13  -5.7 1021 136  5.9 6  2.1  85    9  116 247 -288  0
3900500 3010500  1  6 14  -5.4 1021 132  5.7 6  2.1  85    8  104 255 -291  0
3900500 3010500  1  6 15  -5.2 1021 122  5.2 7  2.2  85    2   65 262 -292  0
3900500 3010500  1  6 16  -5.6 1021 123  3.7 7  2.2  86    0   24 268 -290  0
3900500 3010500  1  6 17  -6.1 1022 116  3.3 8  2.1  88    0    2 273 -287  0
3900500 3010500  1  6 18  -6.3 1023 114  3.4 8  2.1  90    0    0 276 -283  0
3900500 3010500  1  6 19  -6.5 1023 123  4.1 7  2.1  89    0    0 270 -282  0
3900500 3010500  1  6 20  -6.3 1024 132  3.5 6  2.1  90    0    0 261 -280  0
3900500 3010500  1  6 21  -5.9 1025 116  3.5 6  2.2  91    0    0 258 -279  0
3900500 3010500  1  6 22  -6.4 1025 114  3.4 8  2.2  93    0    0 267 -279  0
3900500 3010500  1  6 23  -6.4 1026 110  3.3 8  2.2  94    0    0 275 -278  0
3900500 3010500  1  6 24  -6.0 1026 115  2.9 8  2.2  92    0    0 274 -277  0
3900500 3010500  1  7  1  -5.8 1027 107  2.2 8  2.2  91    0    0 272 -277  0
3900500 3010500  1  7  2  -5.6 1027  52  1.7 8  2.2  91    0    0 270 -277  0
3900500 3010500  1  7  3  -5.1 1028  61  2.9 8  2.3  91    0    0 269 -276  0
3900500 3010500  1  7  4  -5.2 1028  68  2.5 8  2.3  90    0    0 269 -276  0
3900500 3010500  1  7  5  -5.4 1029  61  3.0 8  2.3  91    0    0 267 -276  0
3900500 3010500  1  7  6  -5.3 1030  76  3.3 8  2.3  92    0    0 264 -276  0
3900500 3010500  1  7  7  -5.2 1031  47  2.6 8  2.3  92    0    0 261 -276  0
3900500 3010500  1  7  8  -5.0 1031  64  3.5 8  2.3  92    0    0 259 -276  0
3900500 3010500  1  7  9  -4.7 1032  74  3.5 8  2.4  91    0    0 258 -276  0
3900500 3010500  1  7 10  -4.7 1033  84  3.1 8  2.4  90    0   10 258 -276  0
3900500 3010500  1  7 11  -4.4 1034  91  3.8 8  2.4  89    0   23 261 -279  0
3900500 3010500  1  7 12  -4.2 1034 100  4.0 8  2.3  87    0   26 265 -284  0
3900500 3010500  1  7 13  -4.4 1035  47  1.8 7  2.3  86    0   26 263 -290  0
3900500 3010500  1  7 14  -4.5 1035 125  2.1 7  2.3  86    0   24 256 -293  0
3900500 3010500  1  7 15  -4.5 1035  88  2.1 8  2.3  87    0   19 254 -294  0
3900500 3010500  1  7 16  -4.3 1035 108  2.3 8  2.3  86    0    8 249 -292  0
3900500 3010500  1  7 17  -4.7 1036 120  2.6 8  2.3  86    0    0 240 -288  0
3900500 3010500  1  7 18  -5.0 1036 123  3.4 8  2.2  86    0    0 234 -285  0
3900500 3010500  1  7 19  -5.5 1036 135  4.1 8  2.1  86    0    0 231 -283  0
3900500 3010500  1  7 20  -5.9 1036 151  4.5 8  2.1  87    0    0 229 -283  0
3900500 3010500  1  7 21  -5.7 1037 167  4.3 6  2.1  88    0    0 224 -282  0
3900500 3010500  1  7 22  -5.7 1037 171  4.6 8  2.2  90    0    0 225 -283  0
3900500 3010500  1  7 23  -5.7 1037 182  5.0 8  2.2  90    0    0 233 -284  0
3900500 3010500  1  7 24  -5.9 1037 166  5.1 8  2.2  90    0    0 235 -286  0
3900500 3010500  1  8  1  -6.3 1036 171  6.0 7  2.1  90    0    0 233 -286  0
3900500 3010500  1  8  2  -6.2 1036 169  6.2 8  2.1  92    0    0 234 -287  0
3900500 3010500  1  8  3  -6.4 1035 174  6.6 8  2.1  93    0    0 239 -289  0
3900500 3010500  1  8  4  -6.4 1034 180  7.6 8  2.1  93    0    0 241 -291  0
3900500 3010500  1  8  5  -6.2 1034 179  8.2 8  2.2  93    0    0 243 -291  0
3900500 3010500  1  8  6  -6.0 1033 178  7.9 8  2.2  93    0    0 246 -292  0
3900500 3010500  1  8  7  -5.5 1032 185  8.4 8  2.2  93    0    0 249 -292  0
3900500 3010500  1  8  8  -5.1 1032 183  8.7 8  2.3  93    0    0 253 -293  0
3900500 3010500  1  8  9  -4.4 1031 183  8.6 8  2.4  92    0    0 255 -295  0
3900500 3010500  1  8 10  -4.0 1031 184  9.4 8  2.5  91    0   30 259 -296  0
3900500 3010500  1  8 11  -3.5 1030 182  9.7 6  2.5  89    1   62 252 -298  0
3900500 3010500  1  8 12  -2.7 1029 185  9.7 8  2.6  86    0   31 255 -301  0
3900500 3010500  1  8 13  -2.2 1028 186  9.6 8  2.7  85    0   30 268 -304  0
3900500 3010500  1  8 14  -1.7 1027 181  9.9 7  2.7  84    0   39 266 -306  0
3900500 3010500  1  8 15  -1.6 1025 189 10.2 8  2.8  85    0   19 268 -308  0
3900500 3010500  1  8 16  -1.0 1024 186 10.5 8  3.0  88    0    7 276 -308  0
3900500 3010500  1  8 17  -0.5 1023 193 10.0 8  3.3  92    0    0 281 -309  0
3900500 3010500  1  8 18  -0.1 1023 195  8.3 8  3.4  92    0    0 287 -311  0
3900500 3010500  1  8 19   0.2 1022 201  7.8 8  3.5  93    0    0 292 -314  0
3900500 3010500  1  8 20   0.4 1022 200  7.9 8  3.6  94    0    0 297 -315  0
3900500 3010500  1  8 21   0.5 1021 213  8.8 8  3.7  94    0    0 300 -317  0
3900500 3010500  1  8 22   0.6 1021 224  8.2 8  3.7  94    0    0 302 -318  0
3900500 3010500  1  8 23   1.0 1020 230  6.1 8  3.7  93    0    0 305 -319  0
3900500 3010500  1  8 24   0.9 1020 252  5.6 8  3.8  93    0    0 307 -319  0
3900500 3010500  1  9  1   1.2 1020 295  5.9 8  3.8  94    0    0 308 -320  0
3900500 3010500  1  9  2   1.1 1020 274  5.3 6  3.9  95    0    0 301 -321  0
3900500 3010500  1  9  3   1.6 1020 276  5.1 2  4.0  95    0    0 280 -322  0
3900500 3010500  1  9  4   2.8 1020 276  5.5 2  4.1  93    0    0 266 -323  0
3900500 3010500  1  9  5   2.8 1020 259  5.3 6  4.2  91    0    0 280 -324  0
3900500 3010500  1  9  6   2.8 1019 257  6.2 7  4.2  92    0    0 300 -325  0
3900500 3010500  1  9  7   3.0 1019 253  7.2 6  4.3  92    0    0 300 -327  0
3900500 3010500  1  9  8   3.0 1019 270  7.5 6  4.3  92    0    0 294 -327  0
