Koordinatensystem : Lambert konform konisch
Rechtswert        : 4174500 Meter
Hochwert          : 2863500 Meter
Hoehenlage        : 43 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
4174500 2863500  1  3  2   2.8  996 175  3.7 2  4.4  93    0    0 250 -336  1
4174500 2863500  1  3  3   2.6  996 174  4.2 4  4.3  92    0    0 249 -337  1
4174500 2863500  1  3  4   3.7  996 186  3.8 7  4.3  90    0    0 280 -337  1
4174500 2863500  1  3  5   3.4  996 186  3.8 7  4.4  89    0    0 300 -337  1
4174500 2863500  1  3  6   3.7  996 186  4.1 8  4.4  89    0    0 305 -336  1
4174500 2863500  1  3  7   3.8  996 184  3.7 7  4.5  88    0    0 305 -334  1
4174500 2863500  1  3  8   3.6  997 189  3.3 7  4.5  89    0    0 299 -334  1
4174500 2863500  1  3  9   3.8  997 188  3.5 7  4.5  89    0    3 299 -333  1
4174500 2863500  1  3 10   3.8  997 192  3.3 7  4.5  89    3   30 299 -334  1
4174500 2863500  1  3 11   4.8  998 192  3.0 6  4.6  87   74   45 294 -336  1
4174500 2863500  1  3 12   5.6  999 202  3.4 8  4.7  84   26   80 302 -338  1
4174500 2863500  1  3 13   6.0  999 213  4.5 8  4.7  81    7   81 313 -339  1
4174500 2863500  1  3 14   5.4  999 221  4.6 7  4.8  84    3   68 308 -341  1
4174500 2863500  1  3 15   5.7  999 233  4.4 6  4.9  86   24   52 298 -342  1
4174500 2863500  1  3 16   4.8 1000 225  4.2 8  4.9  88    0   21 303 -340  1
4174500 2863500  1  3 17   4.3 1001 231  3.8 7  5.1  95    0    0 306 -336  1
4174500 2863500  1  3 18   4.4 1001 234  4.4 7  5.1  96    0    0 301 -331  1
4174500 2863500  1  3 19   4.0 1002 240  4.2 4  4.9  95    0    0 284 -326  1
4174500 2863500  1  3 20   3.6 1003 236  3.8 5  4.8  96    0    0 272 -324  1
4174500 2863500  1  3 21   3.6 1004 231  3.1 6  4.8  96    0    0 281 -322  1
4174500 2863500  1  3 22   2.4 1005 219  1.7 2  4.6  97    0    0 264 -322  1
4174500 2863500  1  3 23   1.1 1005 213  2.6 2  4.3 100    0    0 243 -322  1
4174500 2863500  1  3 24   1.0 1005 203  1.5 3  4.1 100    0    0 247 -323  1
4174500 2863500  1  4  1   0.6 1005 198  1.2 3  4.1 100    0    0 252 -324  1
4174500 2863500  1  4  2   0.3 1005 190  1.6 3  3.9  99    0    0 250 -327  1
4174500 2863500  1  4  3  -0.1 1005 179  1.2 1  3.8  99    0    0 237 -329  1
4174500 2863500  1  4  4  -0.1 1005 173  1.7 0  3.8 100    0    0 222 -330  1
4174500 2863500  1  4  5   0.2 1004 155  2.8 0  3.8  99    0    0 214 -330  1
4174500 2863500  1  4  6   0.1 1004 159  2.8 1  3.8  98    0    0 214 -330  1
4174500 2863500  1  4  7   0.3 1003 156  2.9 1  3.8  97    0    0 213 -330  1
4174500 2863500  1  4  8   0.2 1003 145  3.2 1  3.8  96    0    0 203 -331  1
4174500 2863500  1  4  9  -0.1 1002 135  2.5 2  3.7  96    0    4 201 -332  1
4174500 2863500  1  4 10   0.6 1002 139  3.0 5  3.8  96    8   39 228 -333  1
4174500 2863500  1  4 11   1.1 1002 140  3.8 7  3.9  95   22   79 274 -334  1
4174500 2863500  1  4 12   2.2 1001 142  4.0 6  3.9  91   56  108 287 -336  1
4174500 2863500  1  4 13   3.4 1000 142  3.7 6  3.9  84   50  113 285 -338  1
4174500 2863500  1  4 14   4.1 1000 143  3.6 6  4.0  80   58   99 290 -339  1
4174500 2863500  1  4 15   3.6  999 135  3.6 4  4.1  81   47   70 274 -340  1
4174500 2863500  1  4 16   3.4  999 137  3.7 5  4.1  84    6   27 262 -340  1
4174500 2863500  1  4 17   3.3  999 141  4.2 7  4.1  85    0    0 289 -340  1
4174500 2863500  1  4 18   3.6  999 144  3.6 7  4.2  84    0    0 310 -340  1
4174500 2863500  1  4 19   3.6  998 151  3.9 7  4.2  84    0    0 311 -341  1
4174500 2863500  1  4 20   3.8  998 151  4.3 8  4.2  84    0    0 318 -342  1
4174500 2863500  1  4 21   4.3  998 157  4.0 8  4.3  83    0    0 326 -343  1
4174500 2863500  1  4 22   3.9  998 163  4.2 8  4.5  86    0    0 326 -344  1
4174500 2863500  1  4 23   3.7  998 175  4.5 8  4.7  93    0    0 326 -344  1
4174500 2863500  1  4 24   4.2  998 185  4.2 8  4.8  94    0    0 327 -343  1
4174500 2863500  1  5  1   4.1  998 188  4.0 8  4.9  94    0    0 328 -342  1
4174500 2863500  1  5  2   3.9  998 186  3.6 8  4.9  96    0    0 327 -342  1
4174500 2863500  1  5  3   4.2  998 191  3.5 7  5.0  96    0    0 321 -343  1
4174500 2863500  1  5  4   4.1  998 202  3.4 6  4.9  95    0    0 311 -341  1
4174500 2863500  1  5  5   4.0  998 196  3.6 5  4.9  95    0    0 301 -339  1
4174500 2863500  1  5  6   3.7  998 192  2.8 4  4.8  94    0    0 291 -338  1
4174500 2863500  1  5  7   3.3  998 191  3.3 3  4.7  94    0    0 281 -338  1
4174500 2863500  1  5  8   2.9  998 175  3.8 1  4.5  94    0    0 269 -338  1
4174500 2863500  1  5  9   3.1  998 176  3.7 1  4.5  94    0    4 262 -338  1
4174500 2863500  1  5 10   3.5  998 165  3.3 4  4.5  93   28   41 265 -337  1
4174500 2863500  1  5 11   4.1  997 165  3.6 5  4.6  92   44   78 279 -339  1
4174500 2863500  1  5 12   4.6  996 157  4.0 7  4.7  90    4   80 293 -342  1
4174500 2863500  1  5 13   5.2  995 160  4.1 7  4.8  88    0   53 304 -344  1
4174500 2863500  1  5 14   5.4  994 156  4.5 7  4.9  87    0   39 302 -345  1
4174500 2863500  1  5 15   5.1  993 145  4.2 7  4.9  88    0   25 301 -344  1
4174500 2863500  1  5 16   5.0  991 149  4.7 8  5.0  91    0    7 314 -344  1
4174500 2863500  1  5 17   5.0  990 159  5.3 8  5.1  92    0    0 328 -344  1
4174500 2863500  1  5 18   5.0  989 164  5.6 8  5.1  92    0    0 330 -344  1
4174500 2863500  1  5 19   5.1  988 167  5.1 8  5.2  93    0    0 333 -345  1
4174500 2863500  1  5 20   5.2  986 172  4.6 8  5.3  94    0    0 334 -346  1
4174500 2863500  1  5 21   5.3  986 177  4.4 8  5.3  94    0    0 335 -348  1
4174500 2863500  1  5 22   5.5  985 183  4.2 8  5.4  95    0    0 336 -350  1
